bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;jenis_perkebunan;produktivitas;satuan
11;Aceh;1118;Kabupaten Pidie Jaya;2021;Serewangi;260;kg per ha
11;Aceh;1171;Kota Banda Aceh;2021;Serewangi;;kg per ha
11;Aceh;1172;Kota Sabang;2021;Serewangi;;kg per ha
11;Aceh;1173;Kota Langsa;2021;Serewangi;;kg per ha
11;Aceh;1174;Kota Lhokseumawe;2021;Serewangi;;kg per ha
11;Aceh;1175;Kota Subulussalam;2021;Serewangi;;kg per ha
11;Aceh;1101;Kabupaten Simeulue;2021;Cengkeh;617;kg per ha
11;Aceh;1102;Kabupaten Aceh Singkil;2021;Cengkeh;443;kg per ha
11;Aceh;1103;Kabupaten Aceh Selatan;2021;Cengkeh;546;kg per ha
11;Aceh;1104;Kabupaten Aceh Tenggara;2021;Cengkeh;286;kg per ha
11;Aceh;1105;Kabupaten Aceh Timur;2021;Cengkeh;;kg per ha
11;Aceh;1106;Kabupaten Aceh Tengah;2021;Cengkeh;;kg per ha
11;Aceh;1107;Kabupaten Aceh Barat;2021;Cengkeh;;kg per ha
11;Aceh;1108;Kabupaten Aceh Besar;2021;Cengkeh;525;kg per ha
11;Aceh;1109;Kabupaten Pidie;2021;Cengkeh;250;kg per ha
11;Aceh;1110;Kabupaten Bireuen;2021;Cengkeh;335;kg per ha
11;Aceh;1111;Kabupaten Aceh Utara;2021;Cengkeh;68;kg per ha
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;Cengkeh;474;kg per ha
11;Aceh;1113;Kabupaten Gayo Lues;2021;Cengkeh;231;kg per ha
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;Cengkeh;;kg per ha
11;Aceh;1115;Kabupaten Nagan Raya;2021;Cengkeh;;kg per ha
11;Aceh;1116;Kabupaten Aceh Jaya;2021;Cengkeh;442;kg per ha
11;Aceh;1117;Kabupaten Bener Meriah;2021;Cengkeh;200;kg per ha
11;Aceh;1118;Kabupaten Pidie Jaya;2021;Cengkeh;400;kg per ha
11;Aceh;1171;Kota Banda Aceh;2021;Cengkeh;;kg per ha
11;Aceh;1172;Kota Sabang;2021;Cengkeh;738;kg per ha
11;Aceh;1173;Kota Langsa;2021;Cengkeh;;kg per ha
11;Aceh;1174;Kota Lhokseumawe;2021;Cengkeh;;kg per ha
11;Aceh;1175;Kota Subulussalam;2021;Cengkeh;;kg per ha
11;Aceh;1101;Kabupaten Simeulue;2021;Pinang;347;kg per ha
11;Aceh;1102;Kabupaten Aceh Singkil;2021;Pinang;400;kg per ha
11;Aceh;1103;Kabupaten Aceh Selatan;2021;Pinang;405;kg per ha
11;Aceh;1104;Kabupaten Aceh Tenggara;2021;Pinang;418;kg per ha
11;Aceh;1105;Kabupaten Aceh Timur;2021;Pinang;680;kg per ha
11;Aceh;1106;Kabupaten Aceh Tengah;2021;Pinang;743;kg per ha
11;Aceh;1107;Kabupaten Aceh Barat;2021;Pinang;400;kg per ha
11;Aceh;1108;Kabupaten Aceh Besar;2021;Pinang;601;kg per ha
11;Aceh;1109;Kabupaten Pidie;2021;Pinang;1016;kg per ha
11;Aceh;1110;Kabupaten Bireuen;2021;Pinang;770;kg per ha
11;Aceh;1111;Kabupaten Aceh Utara;2021;Pinang;389;kg per ha
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;Pinang;656;kg per ha
11;Aceh;1113;Kabupaten Gayo Lues;2021;Pinang;302;kg per ha
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;Pinang;500;kg per ha
11;Aceh;1115;Kabupaten Nagan Raya;2021;Pinang;390;kg per ha
11;Aceh;1116;Kabupaten Aceh Jaya;2021;Pinang;410;kg per ha
11;Aceh;1117;Kabupaten Bener Meriah;2021;Pinang;149;kg per ha
11;Aceh;1118;Kabupaten Pidie Jaya;2021;Pinang;479;kg per ha
11;Aceh;1171;Kota Banda Aceh;2021;Pinang;;kg per ha
11;Aceh;1172;Kota Sabang;2021;Pinang;439;kg per ha
11;Aceh;1173;Kota Langsa;2021;Pinang;1256;kg per ha
